data,Battery,Camera,Performance,Display,Design,Packaging,Price,Shop_Service,Shipping,General,Others
"Phân loại sản phẩm: Xám marble 📸 
Chất lượng camera: Đẹp rõ nét ⚡ 
Hiệu suất: Như mô rả",,Positive,,,,,,,,,
"Dùng ok tầm giá 4tr7, mây cửa hàng gửi cực nhanh Tôi yêu Mimedia, lần tới sẽ ủng hộk Không có ảnh do mua cho phụ huynh",,,,,,,Positive,,Positive,,
"Rẻ tiền lừa bịp pin yếu xìu, shipping muộn màng",Negative,,,,,,,,Negative,,
Hàng tốt chất lượng giá rẻ anh em nen mua sủ dụnh nhé. Cám ơn cửa hàng mình đã mua 2 lần rồi thấy quá okê,,,,,,,Positive,,,,
Chưa gắn sim tes thử chưa biết như thế nào. Sẽ quay lại review sau.,,,,,,,,,,Neutral,
"Mua điện thoại cho mẹ ok nha, nhẹ tênh được tặng cả ốp neax, dùng cho bố mẹ là ổn nẻ",,,,,,,,,,Positive,
Sản phẩm rất tốt và đẹp như trên hình ảnh của người bán ạ,,,,,Positive,,,,,,
"Cảm giác pin tuột hơi nhanh, để 1 đêm 7h mất 1%, máy cũ lúc mới mua không mất % nào còn lại thấy khá ổn",Negative,,,,,,,,,,
Sản phẩm.. Quá ok.. Cảm ơn cửa hàng.. Sẽ ủng hộ cửa hàng trong thời gian tới,,,,,,,,,,Positive,
Giao chậm nên bỏ hình thức giao hoả tốc thì hơn,,,,,,,,,Negative,,
"Sử dụng được 2 tuần sạc pin không vào nữa, thất vọng",Negative,,,,,,,,,,
"Chất lượng sản phẩm: Theo cá nhân tôi sử dụng tác vụ bình thường quá mượt rồi. Xem phim l. Zalo. Facebook. Đọc báo. Chơi game nhẹ tốt. Sử dụng bình thường 2 ngày chưa sạc 
Tính năng nổi bật: Thích nhất pin 7000 
Đúng với mô tả: Đúng như quảng cáo nhận hàng rất ưng. Đóng gói kĩ.",Positive,,Positive,,,Positive,,,,,
"Sản phẩm tốt, giao hàng nhanh, chất lượng phù hợp với giá cả, đóng gói tốt, ship nhanh phục vụ tốt",,,,,,Positive,Positive,,Positive,,
"Có người quen giới thiệu nên cũng tin tưởng và mua ủng hộ cửa hàng. Được 1 cái là cửa hàng giao hàng nhanh còn chất lượng thì y như người quen của mình đã nói luôn, siêu tuyệt vời, đã thế còn giá rẻ nữa, chần chờ gì mà không mua nữa bà con ơi",,,,,,,Positive,,Positive,,
Tốt tuyệt vời tốt như vậy là rất ổn cho tầm giá và kiểu dáng hình bóng con thơ đáng yêu vô cùng tận,,,,,,,Positive,,,,
"Sản phẩm được giao đúng hẹn, còn về hiệu năng thì cần thêm thời gian để kiểm tra.",,,Neutral,,,,,,Neutral,,
Cửa hàng tư vấn nhiệt tình. Hag sài ok. Nguyên sel. Chat lượng so voi tầm giá,,,,,,,Positive,Positive,,,
"Sau 1 tuần sử dụng: Chơi game ổn, không nóng máy. Lướt Facebook, tik, yt nhanh, mượt. Loa to, mức1 bằng mức3 điện thoại khác. Dùng làm máy phụ hay cho phụ huynh rất tốt. Quá hợp lý với mức giá gần 2,3tr. Bạn nào muốn mua lấy mã15% của sàn+vào live để thêm 5% của cửa hàng nữa nhá.",,,Positive,,,,Positive,,,,
Điện thoại mua về bị hư phím nguồn cách mà cô đơn hoàng sơn cho ra đời bức ảnh khiến các chị em náo loạn ngày 20/10 vừa rồi :)),,,,,,,,,,,Neutral
"Tụt pin đáng sợ, mới dùng tác vụ cơ bản đã tuột 80% pin",Negative,,,,,,,,,,
"Sản phẩm săn được deal tốt, với giá tiền như vậy và chất lượng sản phẩm rất phù hợp. Điện thoại kích thước vừa xinh, không quá to, không nặng. Pin tốt, cảm ứng mượt. Nói chung với phân khúc giá tiền này, nên mua nhé",Positive,,,,Positive,,Positive,,,,
"Hàng giao được đóng gói cẩn thận, đầy đủ phụ kiện như trong mô tả, cửa hàng thân thiện nhiệt tình hỗ trợ khách hàng. Sẽ tiếp tục ủng hộ.",,,,,,Positive,,Positive,,,
"Chất lượng sản phẩm: Thời gian giao hàng tương ứng với ước lượng, không có phát sinh.",,,,,,,,,Neutral,,
"Chụp ảnh camera trước không rõ nét, đặc biệt nếu quay video thì rất mờ",,Negative,,,,,,,,,
"Điện thoại chưa kịp xài thì pin hư rồi, làm ăn bố láo",Negative,,,,,,,,,,
"Lần đầu mình dám đặt đồ điện tử trên sốp pi... Và rất ưng ý luôn, máy màn hình to chà bá, take note đã cái nư luôn. Mình chỉ sử dụng máy để take note là chính nên cũng không thấy máy nóng hay lag lắm cửa hàng đóng hàng cẩn thận, nguyên hộp mê đồ nhà sam lắm 🥰🥰🥰",,,Positive,Positive,,Positive,,,,,
Cửa hàng trả lời tin nhắn và cung cấp thông tin về sản phẩm ở mức cơ bản.,,,,,,,,Neutral,,,
"Không sử dụng được gì, phí tiền",,,,,,,Negative,,,,
"Nhóm màu: Black 
Dung lượng lưu trữ: 128gb hàng nguyên seal đúng quãng cáo, giao nhanh đóng gói cẩn thận",,,,,,Positive,,,Positive,,
"Chất lượng sản phẩm: Tốt 
Tính năng nổi bật: Tốt 
Đúng với mô tả: Đúng máy khá ngon và mượt",,,Positive,,,,,,,,
"Đúng với mô tả: Sim sóng chập chờn 
Chất lượng sản phẩm: Kém giao hàng nhanh chóng đúng mẫu máy. Nhưng khi lắp sim lúc có sóng lúc không. Màn hình có 1 đốm đen nhỏ nữa. Không muốn đổi trả bảo hành.",,,Negative,Negative,,,,Negative,Positive,Negative,
Điện thoại chơi mấy game nhẹ thì ổn.,,,Positive,,,,,,,,
"Trải nghiệm camera kém, màu sắc sai lệch. Chất lượng ảnh không như quảng cáo. Giao hàng cực kỳ trễ. Ảnh chụp tối không có chi tiết. Pin nhanh hết, hiệu năng yếu",Negative,Negative,Negative,,,,,,Negative,,
Đóng gói không chắc máy bị bụi pin hao pin khi dùng email chăm sóc khách hàng trả lời chậm,Negative,,,,,Negative,,Negative,,,
Lần đầu tiên sử dụng điện thoại xiaomi nhưng cũng không khó lắm. Chỉ sử dụng làm máy phụ quá tốt rồi. Cửa hàng rất nhiệt tình tư vấn giá tốt 👍. Giao hàng khá nhanh. Điện thoại rẻ tiền nhưng rất đẹp,,,,,,,Positive,Positive,Positive,,
Giao hàng nhanh. Gói hàng tương đối ổn. Giá cả phải chăng. Có nhu cầu là ủng hộ thêm nữa. Shiper nhiệt tình thận thiện...,,,,,,Positive,Positive,,Positive,,
Tại sao không mở nguồn được,,,,,,,,,,Negative,
Mua online lần đầu nên hơi rena. Cửa hàng đóng gói kỹ. Nhân viên tư vấn nhiệt tình. Khui hàng kỹ để lỡ coa chuyện gì,,,,,,Positive,,Positive,,,
Variation3: Bạc variation1: Nguyên seal sợ tốt lắm nha mọi người lần đầu mua điện thoại online mà uy tín z,,,,,,,,,,Positive,
Đóng gói: Hộp đựng tiêu chuẩn của hãng.,,,,,,Neutral,,,,,
"Tính năng nổi bật: Máy mới 
Đúng với mô tả: Đúng mô tả 
Chất lượng sản phẩm: Chất lượng tốt giá thành phù họp. Chất lượng tốt. Đã sử dụng được 1 tuần rồi. Thấy ổn định.",,,,,,,,,,Positive,
Giá bán của sản phẩm tương xứng với cấu hình được trang bị.,,,,,,,Neutral,,,,
"Chất lượng sản phẩm: Tốt 
Tính năng nổi bật: Tốt 
Đúng với mô tả: Sai màu đặt màu đỏ cửa hàng giao màu kem nói chung cũng tạm ổn hi vọng lần sau cửa hàng giao đúng hàng khách đã đặt. Để cảm nhận được sự tôn trọng cũng như trải nghiệm tốt hơn.",,,,,,,,,Negative,,
Mức giá phù hợp với thời gian bảo hành đi kèm.,,,,,,,Neutral,Neutral,,,
Điện thoại xài mượt khá ok,,,Positive,,,,,,,,
"Hàng y hình nghe có vẻ tốt cầm nhẹ tay, màu sắ bắt mắt, phải sử dụng lâu mới biết được",,,,,Positive,,,,,,
Máy đẹp pin trâu,Positive,,,,Positive,,,,,,
"Cục sạc của máy dỏm,mình hỏi thì cửa hàng trả lời cho qua lề,máy thì lỗi, nói chung cửa hàng bán hàng không có tâm. Mình cạch cửa hàng này luôn rồi",,,,,,,,Negative,,,
Không có cục sạc điện thoại cứ đơ đơ,,,Negative,,,,,,,,
"Giao hàng nhanh, sản phẩm đúng mô tả, hình ảnh mang tính chất nhận xu",,,,,,,,,Positive,,
"Đúng với mô tả: Tốt 
Tính năng nổi bật: Tốt 
Chất lượng sản phẩm: Tốt
Sản phẩm tốt. Tạm ổn trong tầm tiền, giờ mới để ý là không có tai nghe kèm trong hộp mà điện thoại lại có jack 3.5 cho tai nghe",,,,,,,Positive,,,Positive,
"Màn hình lưu ảnh nhẹ camera ngon đó. Tự tin khẳng định pro thì 5tr quay đầu khó có con nào có camera cân bằng như vầy. Form cầm thì giống iphone 13 thường nhưng mà dài hơn so với 13. Mình cầm thì khá chắc tay còn xperia 5 thì bé quá. Lưu ảnh nhẹ nhưng mà màn còn rất ngon ai có nhu cầu máy phụ thôi hoặc thay vì mua máy nghe nhạc để tiền mua điện thoại thì nên mua bản này liên quân không suport tốt,hiệu năng chơi tốc chiến thì hơi khựng khựng. Thời lượng khoảng 4 tiếng tạm ổn",Positive,Positive,Negative,Negative,,,,,,,
"Color family: Random color sản phẩm: 5 sao,tốt,điện thoại sử dụng mựot,ảnh chụp rõ nét, ngon trong tầm giá. Mình mua đúng đợt giảm giá khuyến mãi, giá tốt hơn bây giờ. Anh em ủng hộ cửa hàng, hàng chất lượng",,Positive,Positive,,,,Positive,,,,
"Color: Đen-m quần xấu, nó dạng quần thun khá ôm so với mẫu. Không khác gì quần mặt thấm hút mồ hôi thể thao, cân nhắc trước khi mua, không giống mẫu đâu.",,,,,,,,,,,Neutral
"Đúng với mô tả: Tốt 
Chất lượng sản phẩm: Đa nhiệm hơi kém bật ram ảo lên đỡ được tí 
Tính năng nổi bật: Pin trâu sạc 90w, ip68",Positive,,Negative,,,,,,,,
"Sản phẩm: Sản phẩm giả mạo, sản phẩm không như mô tả sản phẩm không đúng như tôi oder",,,,,,,,,,Negative,
Đóng gói ok tạm ổn. Hàng đúng mô tả. Hàng mới 100% sử dụng tốt. Ngon nhất trong tầm giá,,,,,,Positive,Positive,,,,
"Máy xách tay can thiệp phần cứng nhầm kích ram rom báo ảo, máy báo 8/256 nhưng check cpu-z thì chỉ có 6/128 thôi mà mức giá này anh em nên tìm máy khác tốt hơn nhé, lỗi mạng 5g và lỗi mốt số ứng dụng chuyên cho realme nữa nói chung không nên mua",,,,,,,Negative,,,Negative,
"Chất lượng sản phẩm: Tốt 
Đúng với mô tả: Tốt
Cửa hàng hỗ trợ nhiệt tình và có trách nhiệm, thấy rất uy tín",,,,,,,,Positive,,,
"Màu sắc: Bạc 
Phân loại: Nguyên seal đã nhận hàng: Điện thoại xiaomi redmi note 10 je 4gb/64gb, chip snap 480,màn 90h - đúng mô tả. Hàng rẻ - chất lượng tốt luôn hàng ngon - bổ - rẻ nha mọi người!",,,,Positive,,Positive,Positive,,,Positive,
Sản phẩm giống cửa hàng mô tả mọi người cần có mua ủng hộ sản phẩm giống quảng cáo mọi người mua ủng hộ sản phẩm màu giống sẽ ủng hộ cửa hàng lần sau,,,,,,,,,,Positive,
"Nhóm màu: Pink 
Dung lượng lưu trữ: 128gb máy đẹp, giao hàng nhanh. Ưng ý về sản phẩm. Sẽ còn mua tiếp nếu có tiền",,,,,,,,,Positive,,
"Đúng với mô tả: Okk mua đthoai mà còn được tặng tai nghe nữaaa, nên mua 💓💓💓🤯",,,,,,,,,,Positive,
"Hoàn thiện kém tạm chấp nhận camera sau có bụi. Camera có hạt bụi bên trong, vỏ nhựa thì ọp ẹp, rẻ tiền.",,Negative,,,Negative,,,,,,
"Mua lần thứ 4 ở cửa hàng, vẫn chưa có gì để chê",,,,,,,,,,Positive,
"Nhóm màu: Xanh đóng gói chắc chắn,giao hàng bên lazada hơi lâu,sẽ ủng hộ nhiều nhiều",,,,,,Positive,,,Negative,,
"Tính năng nổi bật: Tốt 
Đúng với mô tả: Tốt
￼samsung galaxy s25 ultra 12gb/256gb chính hãng",,,,,,,,,,Positive,
"Sản phẩm tốt, -Ban đầu khá nóng nhưng được 3 ngày là hết (do máy cập nhật chưa xong nên nóng là bình thường), -8gb nhưng đa nhiệm vẫn tốt, cam chống mù, chiến game mượt đét -Pin thì do kh được tối ưu tốt về phần mềm hay sao nên 6000mah mà cũng ngang 5000 mah bên samsung. -Có xíu quảng cáo khi dùng app mặc định nhưng tắt được nhé, mình dùng adb xoá hẳn cho thích hihi",Negative,Positive,Positive,,,,,,,,
Điện thoại cũ làm lại mới vẫn còn hình cũ trong tệp pin bị chai tệ,Negative,,,,,,,,,,
Giao hàng nhanh điện thoại ban dau dung kha la muot tuy phan khuc thap,,,Positive,,,,Positive,,Positive,,
Sản phẩm đúng như mô tả giao hàng nhanh,,,,,,,,,Positive,,
Mới nhận được hàng. Pin và camera đủ sử dụng nha okla. Cửa hàng hỗ trợ nhiệt tình ạ. Giao hàng nhanh,Positive,Positive,,,,,,Positive,Positive,,
"Chất lượng sản phẩm: Pin được tầm 2 ngày thôi hơi yếu 
Tính năng nổi bật: Loa nghe to rõ",Negative,,,,,,,,,Positive,
Điện thoại tệ quá tệ anh em đừng mất tiền ngu như tôi nhé.,,,,,,,,,,Negative,
Đúng với mô tả: Oke hàng tốt chất lượng chính hãng đảm bảo tin tưởng tuyệt đối với cửa hàng quá là tuyệt vời luôn. Hình ảnh mang tính chất nhận xu sẽ ủng hộ cửa hàng nhiều lần hoen nữa mãi đỉnh,,,,,,,,,,Positive,
Hàng đúng mẫu. Tốt.. Nhưng mà màu hết pin quá. Ở mức 86% mà mới coi video được 2phút xuống 4.5% rồi. Mau nóng.. Haiz.. Không bị 2 cái do thì tốt rồi,Negative,,,,,,,,,,
"Đóng gói sơ sài, hộp mỏng không có bọc khí. Máy bị xước nhẹ ở viền. Hiệu năng bị giới hạn",,,,,Negative,Negative,,,,,
"Chăm sóc từ chối kiểm tra, pin yếu dữ liệu lớn. Camera xóa phông nền rối, đóng gói bọt mỏng.",Negative,Negative,,,,Negative,,Negative,,,
Để mình đặt hàng rồi đó e thấy chưa có gì là tốt rồi a đàn bà già noel tặng thêm mấy ngày nay không còn e dè,,,,,,,,,,,Neutral
