data,Battery,Camera,Performance,Display,Design,Packaging,Price,Shop_Service,Shipping,General,Others
"Màu sắc: Trắng-lock sim sản phẩm okay..... Đẹp....,...",,,,,,,,,,Positive,
Lần thứ N mua của cửa hàng. Vẫn sẽ ủng hộ cửa hàng dài dài. Đóng gói sản phẩm chắc chắn,,,,,,Positive,,,,,
Nhận hàng sản phẩm y hình mọi người ơi. Hình ảnh chỉ mang tính chất nhận xu,,,,,,,,,,Positive,
"Cửa hàng gửi máy khá ok, bóp máy không bị hiện tượng ọp ẹp như 1 số ng bị, cầm nắm khá chắc chắn với giá 6,7tr thì không thể chế, máy cấu hình mạnh lướt vuốt khá mướt, thông báo tin nhắn có vẻ chậm thật, ai ngại vấn đề thông báo không nên mua máy này",,,Positive,,Positive,,Positive,,,,
"Giao hàng nhanh, đúng mẫu đúng loại. Máy đẹp, hộp đầy đủ. Máy mượt, khá oke, săn sales được giá hời.",,,Positive,,,,Positive,,Positive,,
Đặt màu xanh giao màu tím. Nhắn tin giải quyết nhưng không trả lời. Trả lời qua loa đúng 1 lân. Làm việc ẩu thả không đảm bảo cho khách. Làm ăn không uy tín gì hết. Anh em đặt sản phẩm bên cửa hàng này cân nhắc nha,,,,,,,,Negative,,,
"Tính năng nổi bật: Điện thoại 
Chất lượng sản phẩm: Tệ 
Đúng với mô tả: Không sản phẩm: Hàng lỗi hoặc bị hư hỏng lần đầu mua của cửa hàng và cũng sẽ là lần cuối cùng. Các bạn khi mua hàng của cửa hàng nên kiểm tra kỹ các cạnh rồi hãng mở máy lên nhé. Khi mở máy lên rồi sẽ không được trả vì lý do máy đã kích hoạt. Mình khi khui hộp và khui seal do không biết chính sách này nên đã mở điện thoại lên luôn trước cam để xem máy có lên hay không. Sau đó mình chuaanr bị để dán màn hình mới phát hiện ở trên đầu có vết màu trắng. Khi soi kỹ vào tưởng bụi nhưng thử sử dụng giấy lau chuyên dụng mới phát hiện là lớp keo. Máy mớ nhưng vừa cos bụi vừa có keo? hàng mình nhận từ ngày 10 nhưng khi kiếm tra bảo hành thì phát hiện đã kích hoạt từ ngày 9? khi mình mua thấy cửa hàng v, d cũng bằng tiền bên này. Nghĩ rằng bên này flagship sẽ uy tín hơn nhưng không hề nha các bạn. Các bạn nên cân nhắc kỹ để chọn cửa hàng khác.",,,,,,,,Negative,,,
"Hàng nguyên seal 👍🏻✅ ngon lành cành đào ✅👍🏻tính năng nfc trên này không sao chép thẻ thang máy vào được, app gốc wallet bên cái iqooz9 thì add vào sử dụng vô tư 😎 5g thì không có cũng không sao😎 máy cầm trên tay rất ư là sướng như hàng flagship 👍🏻✅",,,,,,,,,,Positive,
Hình ảnh máy đẹp. Pin kém sạc chậm sử dụng rất nhanh hết,Negative,,,,Positive,,,,,,
Tệ khác xa kém chăm sóc kh trả lời lơ mơ. Camera focus ì ạch.,,Negative,,,,,,Negative,,,
"Đã nhận được hàng, đúng quảng cáo đóng gói cẩn thận xin cảm ơn cửa hàng tặng cửa hàng 10 sao luôn nên mua nha mọi người ",,,,,,Positive,,,,,
Đẹp quá lần đầu mua cửa hàng.. Mà thấy quá thích bữa e có mua nhưng bên cửa hàng kia giao không đúng hàng.. Nên sợ mua như này... Mà không ngờ nay mua cửa hàng này giao cực nhanh mới đặt hôm qua nay có hàng mà lại rất đẹp cảm ơn cửa hàng 5 sao,,,,,Positive,,,,Positive,,
"Săn sale giá phải chăng, máy ổn áp hy vọng bền sẽ đánh giá tiếp theo trong quá trình sử dụng, bão hành hãng dài",,,,,,,Positive,Positive,,,
Chụp hình rõ ủng hộ cửa hàng 5 sao.,,Positive,,,,,,,,,
Tốt trong tầm giá 4m,,,,,,,Positive,,,,
Cửa hàng lừa đảo mua máy a93 giao máy a53 làm ăn vậy mà cũng coi được à,,,,,,,,,,Negative,
"Màu sắc: Xanh ngọc 
Dung lượng lưu trữ: 128gb cửa hàng bọc chống sốc 2 lần cẩn thận lắm. Đi kèm điện thoại là 1 bộ sạc nhanh 25w + 1 bộ được tặng nữa là 2. À có phiếu bảo hành nữa nhưng cửa hàng giao sai màu 😑",,,,,,Positive,,Positive,Negative,,
"Lần trước mua máy tính bảng và điện thoại về đều là máy chưa có cài đặt gì. Lần này mua máy xiaomi về có điểm chưa hài lòng: 1. Máy màu tím. Tưởng tặng ốp trong suốt ai dè cái ốp đen thui. 2. Máy vẫn là nguyên xi trong hộp có bao nguyên vẹn nhưng khi bật máy thì pin 46% và đặc biệt là trong máy có sẵn hàng chục ứng dụng game, lazada, shopee.... Như kiểu máy trưng bày. Có 1 số ứng dụng còn mới được cập nhật hôm đóng gói giao hàng. Mình không thích điều này. Một máy nguyên kiện chỉ có các ứng dụng hệ thống thôi chứ không pải nhiều ứng dụng tùm lum như thế.",Negative,,,,Negative,Negative,,,Negative,,
"Loa ngoài rè ở mọi mức âm lượng, nghe cuộc gọi không rõ. Khác với mô tả âm thanh tốt. Tính năng âm thanh nổi không thấy tác dụng",,,,,,,,,,Negative,
"Tệ sai sự thật face id không nhận diện được, bảo mật kém,",,,,,,,,,,Negative,
Không đúng mô tả các ứng dụng trên điện thoại không sử dụng được.,,,,,,,,,,Negative,
"Dân trí) - Cục CSGT đang tham mưu xây dựng dự thảo nghị định xử phạt hành chính, trong đó dự kiến tăng nặng mức xử phạt với các hành vi gây tai nạn giao thông, cố ý xâm phạm trật tự an",,,,,,,,,,,Neutral
Khung viền máy được làm từ chất liệu đúng như trong phần giới thiệu.,,,,,Neutral,,,,,,
Giá hợp lý nguyên seal ok !,,,,,,Positive,Positive,,,,
"Đèn led/rgb lỗi hiệu ứng đẹp là quảng cáo sai đèn nhấp nháy, mất 1 bên,",,,,,Negative,,,,,,
"Sản phẩm đúng mô tả, giá săn sale hời. Cửa hàng uy tín anh em nên mua",,,,,,,Positive,,,,
"Đúng với mô tả: Đúng với mô tả 
Chất lượng sản phẩm: Dễ sử dụng 
Tính năng nổi bật: Nhỏ gọn, tiện lợi mình đã nhận được hàng sáng nay rồi, cửa hàng giao hàng nhanh chóng, đúng với mô tả trong hình, đóng gói cẩn thận chắc chắn kỹ lưỡng, mình hài lòng với sản phẩm của cửa hàng,sử dụng ổn sẽ mua thêm lần nữa nha",,,,,Positive,Positive,,,Positive,,
"Nhóm màu: Đen 
Dung lượng lưu trữ: 6gb+128gb hiệu suất nhanh và đáng tin cậy., giá trị tuyệt vời cho số tiền bỏ ra,",,,Positive,,,,Positive,,,,
Thông tin vận chuyển hiển thị rằng sản phẩm đã được giao cho đơn vị vận chuyển.,,,,Neutral,,,,,,,
Pin sạc pin lỗi ngắt quãng hiệu năng quá tải app nặng chăm sóc khách hàng im thin thít,Negative,,Negative,,,,,Negative,,,
Nhóm màu: Màu đen không kết nối bluetooth với smartphone được như quảng cáo nói chung chỉ nghe gọi không chống nước,,,Negative,,,,,,,,
Máy khá OK nhưng quãng cáo 5G mà giao về kiểm tra chỉ 2G 3G 4G à,,,,,,,,,Negative,,
Hiệu năng xử lý các tác vụ thông thường ở mức ổn định.,,,Neutral,,,,,,,,
"Chất lượng sản phẩm: Chính hãng 
Đúng với mô tả: Tốt 
Tính năng nổi bật: Iphone đợt này giao hàng nhanh hơn chút. Mà chờ nvc đến lấy hàng lâu quá. Gần 1 ngày",,,,,,,,,Positive,,
"Màu sắc: Vàng điện thoại nhìn sang trọng thật sự, rất thích mọi người nên mua cửa hàng này uy tín, cho cửa hàng 10 sao luôn haha",,,,,,,,,,Positive,
Đóng hàng quá mỏng manh. Hộp không có seal. Chăm sóc khách hàng thiếu nhiệt tình. Nhận hàng hộp móp méo. Chăm sóc khách hàng bảo không sao. Giao hàng không gọi điện trước,,,,,,Negative,,Negative,Negative,,
Dịch vụ chăm sóc khách hàng làm việc từ thứ 2 đến thứ 6,,,,,,,,Neutral,,,
"Cửa hàng cho mình hỏi về chính sách đổi trả sản phẩm nhé, dịch vụ chăm sóc khách hàng mình chưa dùng đến.",,,,,,,,Neutral,,,
Ngoại hình xấu. Tính năng tạm ổn.. Nút nguồn tịt luôn. Không biết ấn kiểu zì để nên 😂😂😂,,,,,Negative,,,,,,
Chăm sóc khách hàng từ chối bảo hành pin yếu. Hiệu năng lag khi chơi game. Ship giao nhầm số lượng phải hủy.,Negative,,Negative,,,,,Negative,Negative,,
Với giá tiền này thì nó trùm phân khúc rồi! hiệu năng tốt lại đẹp nữa❤️🌹,,,Positive,,,,Positive,,,,
Máy khá nặng,,,,,Neutral,,,,,,
Không nên mua nha mọi người cửa hàng ban xạo mua ze may hư mang hinh dem di bao hành rui gui ze lai cai máy củ cửa hàng ban xạo,,,,Negative,,,,Negative,,,
"Trọng lượng máy là 180g, đúng với thông số kỹ thuật được ghi trên vỏ hộp.",,,,,Neutral,,,,,,
"Mua hàng shopee thì nhiều rồi nhưng đây là lần đầu mua điện thoại, nhưng đúng là cửa hàng uy tính. Giao hàng hơi lâu. Hàng đẹp, đóng gói cẩn thận. Pin 6000 nhưng dùng cũng không trâu bò như quảng cáo đâu, nhưng cũng lâu. Nên mua trong tầm gía. Là hàng chuẩn cty nubia. Máy siêu đẹp, dùng mượt hơn cả sunsilk",Positive,,Positive,,Positive,Positive,,,Negative,,
Đúng màu mình thích. Ok cửa hàng,,,,,,,,,,Positive,
"Chất lượng sản phẩm: Tốt 
Đúng với mô tả: Đúng với mô tả sản phẩm mẫu mã đẹp,nhỏ nhìn vui vui,đa dạng tính năng đúng với mô tả của cửa hàng,sản phẩm tốt lắm,đóng gói cẩn thận.",,,,,Positive,Positive,,,,,
Máy dựng lại nhiều lỗi nhắn tin cửa hàng không trả lời không giải đáp thắc mắc phải thay màn hình khác mới sử dụng được mọi người mua nên cân nhắc,,,,,,,,Negative,,,
