aspect,confusion_type,error_count
Battery,negative → positive,3
Battery,neutral → negative,2
Battery,neutral → positive,2
Battery,positive → negative,1
Battery,positive → neutral,1
Camera,positive → negative,4
Camera,neutral → negative,3
Camera,negative → positive,2
Camera,neutral → positive,2
Camera,negative → neutral,1
Design,negative → positive,3
Design,positive → negative,3
Design,neutral → negative,2
Design,neutral → positive,1
Display,negative → positive,3
Display,neutral → positive,2
Display,positive → negative,2
Display,negative → neutral,1
General,positive → neutral,7
General,neutral → positive,5
General,positive → negative,4
General,neutral → negative,2
General,negative → neutral,1
Packaging,negative → positive,3
Packaging,neutral → positive,1
Performance,negative → positive,5
Performance,neutral → positive,3
Performance,negative → neutral,2
Performance,positive → negative,2
Performance,neutral → negative,1
Performance,positive → neutral,1
Price,negative → positive,3
Price,neutral → positive,1
Price,positive → negative,1
Price,positive → neutral,1
Shipping,positive → negative,2
Shipping,negative → positive,1
Shipping,positive → neutral,1
Shop_Service,negative → positive,2
Shop_Service,positive → negative,2
Shop_Service,neutral → negative,1
Shop_Service,neutral → positive,1
Shop_Service,positive → neutral,1
