data,Battery,Camera,Performance,Display,Design,Packaging,Price,Shop_Service,Shipping,General,Others
"giao hàng nhanh, đóng gói cẩn thận, tuy nhiên vẫn không chịu sử dụng đúng số điện thoại khách hàng khi xuất hoá đơn, mặc dù đã nhắn số điện thoại riêng rồi, nhân viên nói là xuất hoá đơn dựa vào thông tin lucd yêu cầu hoá đơn khi mua trên shopee, nhưng mục đó làm gì có ô nào để điền số điện thoại đâu, nhắn riêng để được xuất đúng số cũng không xuất đúng, hỏi thì nhân viên trả lời không thuyết phục.",,,,,,Positive,,Negative,Positive,,
Chăm sóc khách hàng từ chối giải quyết pin yếu chỉ 3h sử dụng web hiệu năng giật khi tải,Negative,,Negative,,,,,Negative,,,
Mọi ng để ý đây là con oppo a9 chạy rom của oppo f11 nhé. Dám để chính hãng. Làm ăn vớ vẩn,,,,,,,,,,Negative,
"tệ hại khác dở hiệu năng chậm như sên. chăm sóc khách hàng không thèm trả lời.,",,,Negative,,,,,Negative,,,
"rất tệ. quảng cáo sai sự thật. máy nóng bất thường. máy lag giật liên tục chỉ mở 2 app. pin tụt 50% chỉ sau 1h xem video. đóng hàng mỏng manh, hộp móp hết. ship cực kì lâu, không đúng hẹn",Negative,,Negative,,,Negative,,,Negative,,
Mức giá này là hợp lý so với những gì sản phẩm mang lại,,,,,,,Positive,,,,
Phí vận chuyển được tính theo khoảng cách,,,,,,,,,Neutral,,
"Máy ok, giao hàng đúng hẹn. Sử dụng hiện tại ok! Tôi đang mua 
Tính năng nổi bật: ok Tính năng 
Chất lượng sản phẩm: ok 
Đúng với mô tả: chính xác",,,,,,,,,Positive,Positive,
Giá như vậy mà ngoại hình xấu quá mặt lưng xước dăm đường nhìn phát nản,,,,,Negative,,Negative,,,,
Camera trước quá tệ.,,Negative,,,,,,,,,
Gọi messenger không được như lỗi vậy.,,,,,,,,,,Negative,
"cổng sạc lỏng ghi 'chắc chắn' sạc hay mất kết nối khi di chuyển,",,,,,,,,,,Negative,
thời gian ship quá dài. giao hàng muộn hơn lịch hẹn. dịch vụ chăm sóc khách hàng như không có. đợi hơn 1 tuần mới thấy hàng. chăm sóc khách hàng chỉ biết xin lỗi,,,,,,,,Negative,Negative,,
nang qua. cấu hình hơi yếu tôi phải xoá hết phần mềm trong máy đi mới cài đặt thêm được Facebook,,,Negative,,,,,,,,
"Mua hàng cửa hàng nhiều lần rồi. cửa hàng bán rẻ hơn mấy chỗ khác. Hàng chính hãng , đẹp uy tín, giao hàng nhanh. Rất hài lòng",,,,,Positive,,Positive,,Positive,,
"Mua lần thứ 4 ở cửa hàng, vẫn chưa có gì để chê",,,,,,,,,,Positive,
"Camera selfie chỉnh màu lệch, hiệu năng chậm duyệt file. Giao hàng 14 ngày, dịch vụ bác hoàn ứng dụng.",,Negative,,,,,,,Negative,,
"Màu sắc: đen 
Phân loại: không hộp (mới 100%) máy quá xuất sắc nhưng cái giá nói lên tất cả đẹp rẻ chuẩn hàng xuất nhật ngon hơn con poco 4 nfc trước mua 5.5tr luôn",,,,,Positive,,Positive,,,,
Cũng tạm ổn trong tầm giá mình không đánh giá cao lắm về con chip nhưng cũng đủ dùng vs lại máy chính hãng nên thôi cho tạm 5 sao,,,,,,,Positive,,,,
Điện thoại nó đọc như cái lon coca đọc lại dã man nghe gọi cũng tốt tôi sẽ mua cửa hàng nhiều nữa,,,,,,,,,,Positive,
