sample_id,aspect,text,true_sentiment,pred_sentiment,error_type,frequency
1294,Battery,Nhóm màu: màu xanh ngoại hình máy khá đẹp.Pin thì hơi cùi nha. Giao hàng nhanh,Negative,Positive,Negative -> Positive,40
1211,Battery,"chụp đẹp, thiết kế đẹp máy chính hãng, còn nguyên seal đã được kích hoạt bảo hành 1 tháng chụp ảnh đẹp, nét. Thiết kế đẹp máy khá nóng trong nhiều tác vụ. Thời lượng pin khoảng 6-7h hỗn hợp wifi+4g nhưng nếu chụp ảnh nhiều ngoài trời nắng thì pin hẹo nhanh",Negative,Positive,Negative -> Positive,40
666,Battery,"Màu sắc: bạc ram/bộ nhớ: ram 8g/128g 
chơi game ngon có điều sạc không vô nói chung khá ổn trong tầm giá",Negative,Positive,Negative -> Positive,40
427,Battery,"Mặc dù máy mới ra mắt nhưng với 6Gb Ram, 128Gb Rom và viên pin 5.000mA thì chưa đủ nhu cầu của mình, được cái giá cũng mềm, camera đẹp",Negative,Positive,Negative -> Positive,40
216,Battery,"Mua cửa hàng 3 lần rồi. Từ lzd qua sản phẩm, máy mới keng! Mình cân nhắc mãi mới chọn pixel 5 thay vì 7, do size của bé 5 này quá yêu, rất vừa tay với mình luôn😚. Xài ss, ip bao năm bao đời từ khi chuyển qua pixel xài mấy năm nay là chỉ thích pixel và xiaomi thôi😀. Đáng tiền mà ngon lắm. Sau vài ngày trải nghiệm pixel 5: mình quan tâm nhất là camera - 8/10₫ (hài lòng, lấy nét đẹp, xoá phông mượt, màu sắc khá ổn). Duy mỗi máy hơi bị nóng mỗi khi dùng lâu và sạc. Ngoài ra là OK hết☺️",Negative,Positive,Negative -> Positive,40
66,Battery,Nói chung mua cho người lớn sài cũng ổn. Sạc thấy lâu chứ không như thông số nha.,Negative,Positive,Negative -> Positive,40
1240,Battery,"shipping lâu hơn hứa. giao hàng muộn 2 ngày. vận chuyển chậm. đã trả tiền ship nhanh mà vẫn giao chậm, làm lỡ việc của mình. pin dùng tốt nhưng hiệu năng thỉnh thoảng lag",Positive,Negative,Positive -> Negative,25
1420,Battery,"Điện thoại đẹp, mới tinh,mọi thứ đều ổn. Pin phải xài thời gian mới biết được có tốt hay không. Đã mua lần 2 của cửa hàng 👍",Neutral,Positive,Neutral -> Positive,15
497,Battery,"Mình mua vào đợt sale 6/6 do vậy mà về hàng khá lâu, đến hôm nay là còn hạn 10 ngày để đánh giá sản phẩm, mình định sử dụng thêm 9 ngày nữa nhưng chắc 20 ngày sử dụng vừa rồi là đủ để đánh giá. 1. Về thiết kế, ngoại hình thì đây là điểm ăn tiền nhất của chiếc máy. Thiết kế bắt mắt, mình mua màu trắng nên rất đẹp, lưng kính giả vân đá không bám vân tay. 2. Màn hình có phần viền rất mỏng, sánh ngang với nhiều con flagship giá cao. Chất lượng hiển thị tuyệt vời do tấm nền AMOLED và cũng vì sử dụng tấm nền này nên khá tiết kiệm pin. Màu sắc hiện lên tươi, rõ nét, nói chung là không có điểm nào có thể chê với màn hình con Redmi Note 13 Pro 5G này được👌👌 3. Camera khá ok, màu sắc, độ chi tiết, xử lí xóa phông ngon, quay video có chống rung OIS. Tuy nhiên khi quay video chống rung thì video sau khi xem lại có giật nhẹ. Máy có thể quay ở độ phân giải và FPS cao. Nhìn chung đối với người không sử dụng camera nhiều như mình thì như vậy là quá tuyệt vời.",Positive,Neutral,Positive -> Neutral,11
801,Camera,"Camera bị vết đen. Máy thì tốt màn hình cảm ứng mượt mà, rất nhạy., nên bị trừ chỉ cho cửa hàng được 4 sao thôi",Negative,Positive,Negative -> Positive,40
652,Camera,mỗi tội camera hơi xấu nhưng chs game rất mượt,Negative,Positive,Negative -> Positive,40
536,Camera,"Mình sử dụng được 2 ngày, thấy máy khá ổn chỉ có việc Cam hơi tệ còn lại đều ok",Negative,Positive,Negative -> Positive,40
191,Camera,"Tốt. nên mua. Rất mượt. Các chức năng rất tốt, trừ chụp ảnh",Negative,Positive,Negative -> Positive,40
