sentence,aspect,sentiment
"màn hình bị ố rất to, lắp lưng và viền bị xây sát nhiều, loa rất rè nghe như muốn nổ điện thoại, mô tả bảo pin mới nhưng lúc sử dụng thì tụt nhanh như uống nước, nói chung là mua tốn tiền, mang về treo gác bếp",General,negative
"Rác rưởi nói một đằng làm một nẻo shipper giao hàng trễ 1 tuần, đóng gói sơ sài bể màn hình,",Shipping,negative
"Tính năng nổi bật: không co 
Đúng với mô tả: tốt 
Chất lượng sản phẩm: trung bình 
giá rẻ, nhưng máy chậm ạ. cảm ứng chậm, bắt wifi cũng chậm, xem livestream cũng chậm, lại bị nhấp nháy màn hình. phải restart máy mới ổn. giá rẻ nên không thể chê thêm. ai mua thì cân nhắc ạ.",Price,positive
Phân loại sản phẩm: s7 - màn hình đẹp tốt tôi tin sẽ trúng thưởng trò chơi này,Display,positive
"sử dụng mấy hôm thấy êm, chỗ cắm sạc cũng rất chắc chắn, sạc nhanh sài lâu hết pin, cửa hàng còn có gửi thư cảm ơn. shipper giao hàng nhanh chóng nhiệt tình",Shipping,positive
"rởm đời bịp bợm lag kinh, sạc chậm ù",Performance,negative
qua tệ sử dụng chua được 1 thang ghim sạc không vào pin liên hệ bảo hanh không được hỗ trợ,Battery,negative
"đóng gói cẩn thận, giao hàng nhanh, sản phẩm đúng như quảng cáo, giá cả hợp lý",Shipping,positive
"Nhóm màu: xanh 
Phân loại sản phẩm: 12/512gb sản phẩm mới xịn xò, phiếu bảo hành đầy đủ máy mượt. nhưng tuột pin nhanh quá, sạc đầy chưa sử dụng gì nhiều mà tuột hết 10%.",Shop_Service,positive
máy dựng lại. thay vỏ camera bị xước nhiều. Pin tụt nhanh quá. Nói chung tiền nào của nấy.,Camera,negative
"Màn hình loạn cảm ứng ổn không có. Thỉnh thoảng màn hình tự nhảy loạn xạ, không bấm mà máy tự thao tác.",Display,negative
"Tính năng nổi bật: oke 
Chất lượng sản phẩm: sản phẩm đẹp 
Đúng với mô tả: rất mượt màu đẹp sản phẩm oke lắm săn sale nên được giá rẻ rất oke",Design,positive
"Đúng với mô tả: đúng với mô tả 
Chất lượng sản phẩm: dễ sử dụng 
Tính năng nổi bật: nhỏ gọn, tiện lợi mình đã nhận được hàng sáng nay rồi, cửa hàng giao hàng nhanh chóng, đúng với mô tả trong hình, đóng gói cẩn thận chắc chắn kỹ lưỡng, mình hài lòng với sản phẩm của cửa hàng,sử dụng ổn sẽ mua thêm lần nữa nha",Shipping,positive
Thời lượng pin 53200 mAh như được công bố,Battery,neutral
"Hàng rẻ tiền thất vọng đèn flash quá yếu,",General,negative
"Chất lượng sản phẩm: tốt
Giao hàng nhanh , sản phẩm giống như mô tả , giá cả hợp lý , đáng mua .",Price,positive
"Nhóm màu: pink 
Dung lượng lưu trữ: 128gb tính năng sạc nhanh, màn hình sắc nét, sang trọng và thanh lịch, giá trị tuyệt vời cho số tiền, các tính năng đổi mới,",Price,positive
thời gian giao hàng bị kéo dài. bên vận chuyển báo sai thông tin. hỗ trợ chăm sóc khách hàng quá tệ. giao hàng mất 10 ngày chứ k phải 3-5 ngày như cam kết. chăm sóc khách hàng còn k biết hàng đang ở đâu,Shipping,negative
Khuyến cáo anh em điện thoại pin lô,Battery,negative
"Hàng đẹp chất lượng , giá rẻ , đóng gói cẩn thận, giao hàng đúng mẫu đủ số lượng, mình đã mua nhiều lần rồi, mọi người nên mua nhé. Giao hàng nhanh",Design,positive
"Tính năng nổi bật: nhanh 
Chất lượng sản phẩm: tốt 
Đúng với mô tả: đúng máy giá rẻ xem phim hay lướt youtube tiktok chơi game cho trẻ con người già",General,positive
Sản phẩm đúng mô tả. Đóng gói cẩn thận. Giao hàng đúng thời gian quy định. Dung lượng đủ 256g là quan trọng nhất.,Shipping,positive
"Nhóm màu: pink 
Dung lượng lưu trữ: 256gb giao hàng nhanh chóng và đáng tin cậy, nhiều tùy chọn màu sắc, màu sắc hiển thị sống động,",Shipping,positive
"Điện thoại mượt mà, giá quá ổn, pin ổn. Cửa hàng tư vấn nhiệt tình và vui vẻ. Cảm ơn!",Price,positive
"hàng 97% cấn khá nhiều trên khung, màn hở thấy có vết keo chắc là đã thay màn lô rồi nhìn quả màn 4k mà chán thực sự thua cả con g8 đang sử dụng:) bỏ ra 4tr mua máy chỉ vì cái màn mà màn chán quá, từng mua máy bên cửa hàng nhưng lần này không khả quan mấy:)",Display,negative
"Phân loại sản phẩm: điện thoại f9 sản phẩm chất lượng rất ổn, mẫu mã đẹp dễ cầm nắm bộ nhớ lớn thoải sức lưu trữ hình ảnh, pin trâu ram máy lớn trải nghiệm game không lo giật lag, giá cả phải chăng hợp túi tiền người lao động. Cửa hàng tư vẫn rất tốt có nhiều sản phẩm giá bình dân . Đánh giá 5 sao",Performance,positive
Đóng gói đúng mô tả; trải nghiệm giao hàng sẽ được cập nhật sau.,Packaging,neutral
"Màu sắc: màu ngẫu nhiên sản phẩm: mình rất vừa ý,máy đẹp,cầm chắc tay và cứng cáp,giá cả bình dân, kiểu dáng đẹp.cửa hàng uy tín giao hàng đúng hẹn,rất nhanh nhẹn,phục vụ tốt. Chất lượng máy rất tốt, đã test và sử dụng chưa thấy lỗi gì phát sinh.rất yên tâm về sản phẩm của cửa hàng",Performance,positive
"Nhóm màu: đen 
Dung lượng lưu trữ: 16gb giao hàng nhanh, đúng như quảng cáo. thật tình mình không ngờ máy rất đẹp, chạy mượt , kiểm tra mọi chức năng đều hoạt động ôk, máy chính hãng. mọi người có con em nên mua cho các bé học online...",Shipping,positive
chất lượng tệ. khác xa hình ảnh quảng cáo. pin kém. máy chậm chạp. pin sụt nhanh. đóng gói sơ sài. ship chậm 1 tuần. chăm sóc khách hàng ko chuyên nghiệp,Packaging,negative
"chọn màu xanh nhưng giao màu xám, máy lag, chậm. tiền ít lên chắc chỉ được vậy thôi cho số dép lào để có vấn đề thì nhắn mà nhắn không thấy phản hồi???",Shop_Service,negative
Thủ tục bảo hành được thực hiện đúng theo quy trình của hãng.,Shop_Service,neutral
Màu sắc: vàng dung lượng lưu trữ 1TB,General,neutral
"variation3: mỹ 2 sim 98% 128gb sau 1 tuần sử dụng mình cảm thấy sản phẩm tốt.
điểm chê : mình mua máy 98 nhưng lại có dấu bị rớt ở 2 cạnh trên pin tụt hơi nhanh camera kiểu bị chậm khung hình thấy hơi lag lag ở x1 chỉnh về 0.5 lại bình thường .mic đàm thoại hơi rè điểm tốt :màn hình tốt không bị trầy xước không ám ố , sử dụng mượt mà ,cảm ứng nhạy vkl camera chụp nét chất lượng tốt , .theo mình máy này nằm ở mức 96% còn phần quà tặng: máy có hổ trợ jack 3.5 đâu hả shopp ơiii , sao tặng con tai nghe jack 3.5 chi vậy làm mình phải mua thêm cọng cáp chuyển đổi túm cái váy lại , tầm giá hơn 4 củ thì không có gì phải phàn nàn cả 5 sao",Battery,negative
"Màn hình có hỗ trợ tần số quét cao, mình chưa rõ cách kích hoạt tính năng này.",Display,neutral
"Thiết bị chạy ì, khựng khi mở app nặng. Khác với mô tả ra mạnh mẽ. Tính năng đa nhiệm hay gặp lỗi. Pin hụt nhanh sau vài giờ, sạc tản nhiệt kém, pk tới tay trầy, chăm sóc khách hàng xử lý rườm rà",Battery,negative
"Sản phẩm đúng mô tả, còn nguyên seal, máy rẻ, chính hãng, năm sao",Price,positive
"chụp ảnh bị nhiễu khá nhiều khi vào ban đêm, chụp ban ngày thì không được đẹp.",Camera,negative
"Cập nhật OTA làm mất vài chức năng, rollback khó. Khác với mô tả cập nhật ổn định. Tính năng mới gây hao pin. Camera và hiệu năng giảm sau cập nhật",Battery,negative
"Nhóm màu: đen tuyền dung lượng: 4gb/64gb ram 4gb + bộ nhớ 128gb, cổng type c,",General,positive
