data,Battery,Camera,Performance,Display,Design,Packaging,Price,Shop_Service,Shipping,General,Others
"Màn hình hiển thị ổn trong điều kiện ánh sáng trong phòng, viền màn hình có độ dày tương đối.",,,,Neutral,,,,,,,
"Đúng với mô tả: hàng đúng như mô tả. 
Chất lượng sản phẩm: chất lượng thì chắc sử dụng mới biết ... Nhưng nhìn chung máy rất chất. 
Tính năng nổi bật: cửa hàng đã giao đúng màu mình muốn, đúng số 8g - 256gb.",,,,,Positive,,,,,,
Quá trình vận chuyển theo đúng lịch trình đã thông báo.,,,,,,,,,Neutral,,
"hàng không đúng như hình ảnh, không hài lòng, để có uy tín lần sau gửi hàng đúng theo quảng cáo và in như hình.",,,,,,Negative,,,Negative,,
Tính năng nổi bật: loa to nghe ấm nói chung là tốt ,,,,,,,,,,Positive,
hiệu năng chỉ đủ dùng các tác vụ nhẹ. màu sắc sản phẩm thật không đẹp như ảnh. pin sạc đầy rất lâu. chăm sóc khách hàng không thực hiện lời hứa. shipping không cung cấp được mã theo dõi,Negative,,Neutral,,Negative,,,Negative,Negative,,
"mua cho người lớn ở nhà nên không có hình ảnh, điện thoại khá tốt",,,,,,,,,,Positive,
"Khá tốt, kh bật được chế độ khoá cảm ứng",,,,,,,,,,Negative,
Đóng gói sơ sài máy bị trầy pin hao pin khi sử dụng dữ liệu chăm sóc khách hàng thái độ khó chịu,Negative,,,,Negative,,,Negative,,,
"Màu sắc: xanh đậm 
Dung lượng lưu trữ: 128gb mình sử dụng 5 ngày cảm thấy hài lòng! máy đẹp, các chức năng đều ổn định! cảm ơn cửa hàng!",,,,,Positive,,,,,,
"Chất lượng sản phẩm: còn sử dụng tốt 
Tính năng nổi bật: ngoại hình đẹp 
Đúng với mô tả: đúng mô tả điện thoại sử dụng chữa cháy tốt, ngoại hình khá mới, test chạy thấy cũng ổn",,,Positive,,Positive,,,,,,
"Variation3: đen variation1: nguyên seal hàng đến rất nhanh, không hề có vấn đề gì. Máy chạy tốt, cài đặt ban đầu dễ dàng. Khuyến khích mua. Cảm ơn cửa hàng",,,,,,,,,Positive,,
"Chất lượng sản phẩm: tệ 
Đúng với mô tả: không 
Tính năng nổi bật: số liệu sai(trong cài đặt) mô tả là oppo f11 6gb/128gb nhưng khi kiểm tra kỹ thì máy là oppo a9 2020, ram thực chỉ 6gb, bộ nhớ hơn 100gb. đã phải reset máy, kiểm tra bằng imei và phần mềm mới phát hiện. may còn trả hàng được. cửa hàng trả lời vòng vo, không rõ ràng. mọi người nên kiểm tra thật kỹ khi mua, đừng tin vào thông số ghi trên hệ thống.",,,,,,,,Negative,,,
"Tính năng nổi bật: no cam 
Chất lượng sản phẩm: tốt 
Đúng với mô tả: đúng cty nào cấm điện thoại có cam thì em này là sự lựa chọn tuyệt vời, cửa hàng tư vấn siêu nhiệt tình, sẽ ủng hộ tiếp.",,,,,,,,Positive,,,
