aspect,total,correct,errors,accuracy,error_rate
Camera,188,176,12,0.9361702127659575,0.06382978723404253
Display,126,118,8,0.9365079365079365,0.06349206349206349
Performance,248,234,14,0.9435483870967742,0.056451612903225756
General,380,361,19,0.95,0.050000000000000044
Design,238,229,9,0.9621848739495799,0.037815126050420145
Battery,258,249,9,0.9651162790697675,0.03488372093023251
Shop_Service,236,229,7,0.9703389830508474,0.029661016949152574
Price,268,262,6,0.9776119402985075,0.02238805970149249
Packaging,225,221,4,0.9822222222222222,0.01777777777777778
Shipping,299,295,4,0.9866220735785953,0.013377926421404673
Others,37,37,0,1.0,0.0
