aspect,total,correct,errors,accuracy,error_rate
Warranty,31,24,7,0.7741935483870968,0.22580645161290325
Audio,38,32,6,0.8421052631578947,0.1578947368421053
Design,148,129,19,0.8716216216216216,0.1283783783783784
Camera,127,115,12,0.905511811023622,0.09448818897637801
Display,97,88,9,0.9072164948453608,0.09278350515463918
General,187,171,16,0.9144385026737968,0.08556149732620322
Battery,189,173,16,0.9153439153439153,0.08465608465608465
Shipping,185,170,15,0.918918918918919,0.08108108108108103
Software,39,36,3,0.9230769230769231,0.07692307692307687
Performance,163,151,12,0.9263803680981595,0.07361963190184051
Price,149,139,10,0.9328859060402684,0.06711409395973156
Shop_Service,136,133,3,0.9779411764705882,0.022058823529411797
Packaging,124,122,2,0.9838709677419355,0.016129032258064502
Others,21,21,0,1.0,0.0
