sentence,aspect,sentiment,predicted_sentiment,confusion_type,error_count_for_sentence
"Chip khỏe, pin trâu, quá ổn trong tầm giá",Battery,negative,positive,negative → positive,1
"Nhóm màu: pink 
Dung lượng lưu trữ: 128gb bóng bẩy và thanh lịch, tuổi thọ pin lâu dài, giá trị tuyệt vời cho số tiền bỏ ra, khả năng sạc nhanh,",Battery,negative,positive,negative → positive,1
"Đúng với mô tả: đúng 
Chất lượng sản phẩm: tốt 
Tính năng nổi bật: nghe gọi ￼điện thoại nokia 6310 (2025) hỗ trợ sóng 4g màn hình đẹp loa to rõ ràng bảo hành 12 tháng đã mua lần 2 sử dụng tốt sóng khỏe, loa to pin hơi yếu chút, nhưng cũng được giao nhanh, đóng gói cẩn thận",Battery,negative,positive,negative → positive,1
Anh chị cân nhắc khi mua tuỳ nhu cầu của cá nhân sử dụng ngoại quan máy ổn camera có bụi trước & sau pin chấp nhận được,Battery,neutral,negative,neutral → negative,1
Pin chỉ sử dụng 4 tiếng trung bình. Đóng gói hộp cũ mùi lạ. Ship phí nội thành nhưng chậm như ngoại tỉnh.,Battery,neutral,negative,neutral → negative,1
Sản phẩm tốt. Điện thoại đã bị làm ảo android từ 9 lên 10 với làm ảo ram/rom từ 6/128gb lên thành 8/256gb từ không ảnh hưởng tới máy như nhìn hơi khó chịu. Oin tuột hơi nhanh như với giá như thế này thì quá là tốt. Lần sao sẽ tiếp tục ủng hộ cửa hàng,Battery,neutral,negative,neutral → negative,1
"máy còn khá mới. nhưng mất áp, chắc đã thay vỏ. loa thoại khá nhỏ, loa ngoài cũng nhỏ và rè, pin sạc lâu đầy dù đã sử dụng sạc qc3, sạc theo hộp là sạc lô, không phải hàg chuẩn, hộp cũg là hộp lô thôi ạ. pin của máy tạm thôi. sử dụng bt ngày sạc 2 lần. khs máy chỉ sạc được đến 98% là không lên được 100%",Battery,neutral,negative,neutral → negative,1
"Máy xử lý các công việc văn phòng ở mức tạm ổn, pin đáp ứng được trong một buổi làm việc.",Battery,neutral,positive,neutral → positive,1
"pin 5000mah, giá cả tương xứng với cấu hình.",Battery,neutral,positive,neutral → positive,1
"đây là điện thoại mình đặt cho ba chủ yếu là vì cấu hình khoẻ, máy nhẹ ,bền, và dung lượng pin 6000mah",Battery,neutral,positive,neutral → positive,1
đẹp nha mấy chế ơi. Mua cho momy nên hy vọng là bền và pin sử dụng được lâu 1 chút =]]]. hy vọng hy vọng.,Battery,neutral,positive,neutral → positive,1
"Chất lượng sản phẩm: pin xai lâu ghê, nghe nhạc ở tiệm cả ngày vẫn ổn 
Đúng với mô tả: màu xanh phong thuỷ",Battery,positive,negative,positive → negative,1
"Chất lượng sản phẩm: tốt 
Đúng với mô tả: đúng sau 1 tuần sử dụng khá ngon, ngoại hình hơi xước tý pin còn 100%",Battery,positive,negative,positive → negative,1
Cừ chết cái điện thoại 😂 bé tẹo cưng lắm cũng quậy được gần tiếng hết pin tạm ổn sử dụng lấy le,Battery,positive,negative,positive → negative,1
"ban đầu thấy bảo không có dán cường lực sẵn làm đi mua hết mấy cái. ốp trong của điện thoại khá mềm và mỏng, điện thoại sử dụng tốt, pin trâu, chụp hình hơi ẹ nhưng cày game nhẹ nhẹ thì ổn. mình sử dụng được 10 ngày rồi và không thấy có dấu hiệu giật lag gì, có cài apk này nọ crack máy vẫn tốt.",Battery,positive,negative,positive → negative,2
"mua để chơi mỗi tft thôi mà không hiểu sao vẫn lag. máy nhanh nóng. còn lại thì oke, pin trâu.",Battery,positive,negative,positive → negative,1
"Đúng với mô tả: không đúng như mô tả
Chất lượng sản phẩm: tệ 
Tính năng nổi bật: pin trâu, sạc nhanh. Chỉ có khuyết duy nhất và cũng là khó chịu nhất là cài đặt quá nhiều ứng dụng bên ngoài không cần thiết hay phải nói là ứng dụng quá tào lao và còn tự động chạy không cho phép tắt, trong đó có ứng dụng demi, nó có thể tự tiện thay đổi cài đặt của ứng dụng khác và tự động chạy cho dù có tắt nó đi hoặc không cấp bất cứ quyền gì. Đánh giá chung là trải nghiệm quá tệ. Nếu chỉ sử dụng để chơi game thì không sao, nếu để sử dụng như một chiếc điện thoại bình thường cho công việc hàng ngày thì không nên mua. Sẽ không bao giờ quay lại sử dụng điện thoại của hãng này nữa. Trải nghiệm quá tệ.",Battery,positive,negative,positive → negative,1
"Đúng với mô tả: yes 
Tính năng nổi bật: sạc nhánh 
Chất lượng sản phẩm: ngoại hình hơi xước xíu tổng thể máy rất hài lòng máy hiệu năng cao hơi nóng có sạc nhánh vừa chơi sạc không chai pin màn hình dài đọc wed khá đã (mặc dù đặt màn ám nhẹ giờ chưa thấy nó ám icon ;)))) cảm ơn cửa hàng nha vì giữ đúng lời hứa :))))",Battery,positive,negative,positive → negative,1
"Đúng với mô tả: đúng 
Chất lượng sản phẩm: tốt 
Tính năng nổi bật: pin trâu săn với giá tốt nên khá hài lòng về sản phẩm. Nhưng thời gian giao hàng hơi tệ phải tự ra cửa hàng nhận sản phẩm.",Battery,positive,negative,positive → negative,1
Được cái pin trâu chứ thua cái poco c65. Lâu lâu bị đơ. Pin tốt nhưng hiệu năng tệ,Battery,positive,negative,positive → negative,1
"Màu sắc: xanh 
Phiên bản: bản locksim-hư sim pin trâu vcl sài 14 tiếng liên tục mà máy còn 31% chơi game thì tạm ổn với tầm giá cam thì chống mù thôi ngoại hình đẹp ít trầy xước",Camera,negative,neutral,negative → neutral,1
"dòng máy chuyên chiến game chắc ăn mượt rồi, cái gì cũng có điểm mạnh điễm yếu nó, mua máy này về phục vụ chụp hình thì bỏ ý định đi nhé, dành chiến game thôi.",Camera,negative,neutral,negative → neutral,1
"Màu sắc: xanh 
Phiên bản: bản locksim-hư sim 🔋 
Thời lượng pin: ngon 📸 
Chất lượng camera: hơi tối, không nét lắm ⚡ 
Hiệu suất:cũng tốt",Camera,negative,positive,negative → positive,1
Nhóm màu: màu đen siêu phẩm ngày xưa mình mơ ước. Khi em nó có giá 20 củ. Mình chỉ dám ra tgdd nhìn ngắm và sờ mó. Nhưng bây giờ mình đã có quyền sở hữu em nó rồi. Cảm ơn cửa hàng. Máy rất tốt. Chạy mượt.. Bị chồng ảnh chút nhưng chấp nhận được,Camera,negative,positive,negative → positive,1
