aspect,total,correct,errors,accuracy,error_rate
Display,90,76,14,0.8444444444444444,0.15555555555555556
Camera,117,99,18,0.8461538461538461,0.15384615384615385
Performance,149,131,18,0.8791946308724832,0.12080536912751683
General,257,227,30,0.8832684824902723,0.11673151750972766
Battery,175,155,20,0.8857142857142857,0.11428571428571432
Design,145,130,15,0.896551724137931,0.10344827586206895
Price,140,128,12,0.9142857142857143,0.08571428571428574
Shop_Service,154,145,9,0.9415584415584416,0.058441558441558406
Shipping,181,171,10,0.9447513812154696,0.05524861878453036
Packaging,127,120,7,0.9448818897637795,0.055118110236220486
Others,20,20,0,1.0,0.0
