aspect,confusion_type,error_count
Battery,positive → negative,9
Battery,neutral → negative,4
Battery,neutral → positive,4
Battery,negative → positive,3
Camera,positive → negative,6
Camera,negative → positive,5
Camera,neutral → positive,3
Camera,negative → neutral,2
Camera,positive → neutral,2
Design,negative → positive,6
Design,neutral → positive,3
Design,positive → negative,3
Design,positive → neutral,2
Design,neutral → negative,1
Display,negative → positive,7
Display,positive → negative,3
Display,neutral → positive,2
Display,negative → neutral,1
Display,positive → neutral,1
General,positive → neutral,11
General,neutral → positive,7
General,negative → positive,5
General,negative → neutral,3
General,neutral → negative,2
General,positive → negative,2
Packaging,positive → negative,4
Packaging,negative → positive,2
Packaging,neutral → negative,1
Performance,positive → negative,6
Performance,negative → neutral,5
Performance,negative → positive,2
Performance,neutral → positive,2
Performance,positive → neutral,2
Performance,neutral → negative,1
Price,negative → positive,4
Price,positive → neutral,3
Price,negative → neutral,2
Price,positive → negative,2
Price,neutral → positive,1
Shipping,negative → positive,5
Shipping,positive → negative,4
Shipping,neutral → positive,1
Shop_Service,negative → positive,7
Shop_Service,neutral → positive,1
Shop_Service,positive → neutral,1
