aspect,confusion_type,error_count
Battery,negative → positive,3
Battery,positive → negative,2
Battery,positive → neutral,2
Battery,neutral → negative,1
Camera,positive → negative,4
Camera,negative → positive,2
Camera,negative → neutral,1
Camera,neutral → negative,1
Camera,neutral → positive,1
Camera,positive → neutral,1
Design,negative → positive,3
Design,neutral → positive,2
Design,neutral → negative,1
Display,negative → positive,4
Display,neutral → negative,1
Display,neutral → positive,1
Display,positive → negative,1
General,neutral → positive,11
General,positive → neutral,9
General,negative → positive,5
General,neutral → negative,3
General,positive → negative,3
Packaging,positive → negative,1
Packaging,positive → neutral,1
Performance,neutral → positive,6
Performance,negative → positive,3
Performance,positive → negative,2
Performance,positive → neutral,2
Price,neutral → positive,7
Price,negative → positive,3
Price,neutral → negative,2
Price,positive → negative,1
Price,positive → neutral,1
Shipping,positive → negative,3
Shipping,neutral → negative,2
Shipping,neutral → positive,2
Shipping,negative → positive,1
Shop_Service,negative → positive,6
Shop_Service,positive → negative,4
Shop_Service,neutral → negative,3
Shop_Service,positive → neutral,2
Shop_Service,negative → neutral,1
Shop_Service,neutral → positive,1
