aspect,total,correct,errors,accuracy,error_rate
Price,150,138,12,0.92,0.07999999999999996
Shop_Service,152,140,12,0.9210526315789473,0.07894736842105265
Design,148,138,10,0.9324324324324325,0.06756756756756754
Display,89,83,6,0.9325842696629213,0.0674157303370787
Performance,134,126,8,0.9402985074626866,0.05970149253731338
Camera,124,117,7,0.9435483870967742,0.056451612903225756
Shipping,153,145,8,0.9477124183006536,0.05228758169934644
Battery,174,166,8,0.9540229885057471,0.04597701149425293
General,271,259,12,0.955719557195572,0.044280442804428
Packaging,128,123,5,0.9609375,0.0390625
Others,15,15,0,1.0,0.0
