aspect,confusion_type,error_count
Battery,negative → positive,3
Battery,neutral → negative,3
Battery,neutral → positive,1
Battery,positive → negative,1
Camera,negative → positive,5
Camera,neutral → positive,1
Camera,positive → neutral,1
Design,negative → positive,4
Design,neutral → negative,2
Design,positive → negative,2
Design,neutral → positive,1
Design,positive → neutral,1
Display,positive → negative,3
Display,negative → positive,2
Display,neutral → negative,1
General,neutral → positive,5
General,negative → positive,3
General,neutral → negative,3
General,positive → neutral,1
Packaging,negative → positive,4
Packaging,positive → negative,1
Performance,negative → positive,3
Performance,neutral → negative,3
Performance,neutral → positive,1
Performance,positive → negative,1
Price,positive → negative,4
Price,neutral → positive,3
Price,neutral → negative,2
Price,negative → neutral,1
Price,negative → positive,1
Price,positive → neutral,1
Shipping,positive → negative,6
Shipping,neutral → negative,1
Shipping,neutral → positive,1
Shop_Service,neutral → negative,5
Shop_Service,negative → positive,3
Shop_Service,negative → neutral,1
Shop_Service,neutral → positive,1
Shop_Service,positive → negative,1
Shop_Service,positive → neutral,1
