aspect,total,correct,errors,accuracy,error_rate
General,352,330,22,0.9375,0.0625
Shop_Service,258,242,16,0.937984496124031,0.06201550387596899
Battery,277,260,17,0.9386281588447654,0.06137184115523464
Camera,152,143,9,0.9407894736842105,0.05921052631578949
Price,274,258,16,0.9416058394160584,0.058394160583941646
Design,264,251,13,0.9507575757575758,0.0492424242424242
Performance,267,254,13,0.951310861423221,0.048689138576779034
Packaging,218,212,6,0.9724770642201835,0.02752293577981646
Shipping,311,305,6,0.9807073954983923,0.019292604501607746
Display,131,130,1,0.9923664122137404,0.007633587786259555
Others,24,24,0,1.0,0.0
