aspect,confusion_type,error_count
Battery,positive → negative,3
Battery,neutral → positive,1
Battery,positive → neutral,1
Camera,positive → negative,2
Camera,neutral → negative,1
Camera,neutral → positive,1
Design,negative → positive,3
Design,positive → negative,2
Design,neutral → negative,1
Display,negative → positive,2
Display,positive → negative,1
Display,positive → neutral,1
General,neutral → positive,7
General,negative → neutral,4
General,positive → negative,4
General,negative → positive,3
General,neutral → negative,1
Packaging,positive → negative,1
Performance,negative → positive,5
Performance,neutral → negative,1
Performance,positive → negative,1
Performance,positive → neutral,1
Price,neutral → positive,4
Price,negative → neutral,1
Price,negative → positive,1
Price,neutral → negative,1
Price,positive → negative,1
Shipping,negative → neutral,2
Shipping,negative → positive,1
Shipping,positive → negative,1
Shipping,positive → neutral,1
Shop_Service,negative → positive,3
Shop_Service,positive → negative,2
