aspect,total,correct,errors,accuracy,error_rate
Price,139,126,13,0.9064748201438849,0.09352517985611508
Design,145,132,13,0.9103448275862069,0.08965517241379306
Camera,118,109,9,0.923728813559322,0.07627118644067798
Performance,149,138,11,0.9261744966442953,0.0738255033557047
Display,89,83,6,0.9325842696629213,0.0674157303370787
General,256,242,14,0.9453125,0.0546875
Battery,177,169,8,0.9548022598870056,0.04519774011299438
Packaging,129,124,5,0.9612403100775194,0.03875968992248058
Shipping,181,174,7,0.9613259668508287,0.03867403314917128
Shop_Service,154,150,4,0.974025974025974,0.025974025974025983
Others,20,20,0,1.0,0.0
