aspect,confusion_type,error_count
Battery,positive → negative,5
Battery,negative → positive,2
Battery,neutral → positive,1
Camera,negative → positive,4
Camera,neutral → negative,2
Camera,neutral → positive,1
Camera,positive → negative,1
Camera,positive → neutral,1
Design,negative → positive,7
Design,positive → negative,3
Design,negative → neutral,1
Design,neutral → positive,1
Design,positive → neutral,1
Display,positive → negative,2
Display,positive → neutral,2
Display,negative → positive,1
Display,neutral → negative,1
General,negative → neutral,3
General,neutral → positive,3
General,positive → negative,3
General,negative → positive,2
General,positive → neutral,2
General,neutral → negative,1
Packaging,positive → negative,3
Packaging,negative → positive,1
Packaging,neutral → positive,1
Performance,negative → positive,10
Performance,positive → negative,1
Price,negative → positive,4
Price,positive → neutral,4
Price,neutral → positive,3
Price,negative → neutral,2
Shipping,negative → positive,3
Shipping,positive → negative,3
Shipping,neutral → positive,1
Shop_Service,neutral → negative,2
Shop_Service,negative → neutral,1
Shop_Service,neutral → positive,1
